belong,title,url,category,sub_category
Best Seller,Athletic Socks,https://www.amazon.com/Best-Sellers-Womens-Athletic-Socks/zgbs/fashion/1044920/ref=zg_bs_nav_4_1044886,"Clothing, Shoes & Jewelry","Clothing, Shoes & Jewelry/Women/Clothing/Active"
Best Seller,Dress & Trouser Socks,https://www.amazon.com/Best-Sellers-Womens-Dress-Trouser-Socks/zgbs/fashion/2376197011/ref=zg_bs_nav_4_1044886,"Clothing, Shoes & Jewelry","Clothing, Shoes & Jewelry/Women/Clothing/Socks & Hosiery"
Best Seller,Casual Socks,https://www.amazon.com/Best-Sellers-Womens-Casual-Socks/zgbs/fashion/2376196011/ref=zg_bs_nav_4_1044886,"Clothing, Shoes & Jewelry","Clothing, Shoes & Jewelry/Women/Clothing/Socks & Hosiery"
Best Seller,Headbands,https://www.amazon.com/Best-Sellers-Womens-Headbands/zgbs/fashion/2474978011/ref=zg_bs_nav_4_2474945011,"Clothing, Shoes & Jewelry","Clothing, Shoes & Jewelry/Women/Accessories/Hats & Caps"
Best Seller,Fedoras,https://www.amazon.com/Best-Sellers-Womens-Fedoras/zgbs/fashion/2474977011/ref=zg_bs_nav_4_2474945011,"Clothing, Shoes & Jewelry","Clothing, Shoes & Jewelry/Women/Accessories/Hats & Caps"
Best Seller,Cowboy Hats,https://www.amazon.com/Best-Sellers-Womens-Cowboy-Hats/zgbs/fashion/2474976011/ref=zg_bs_nav_4_2474945011,"Clothing, Shoes & Jewelry","Clothing, Shoes & Jewelry/Women/Accessories/Hats & Caps"
Best Seller,Cold Weather Headbands,https://www.amazon.com/Best-Sellers-Womens-Cold-Weather-Headbands/zgbs/fashion/2474965011/ref=zg_bs_nav_4_2474945011,"Clothing, Shoes & Jewelry","Clothing, Shoes & Jewelry/Women/Accessories/Hats & Caps"
Best Seller,Bucket Hats,https://www.amazon.com/Best-Sellers-Womens-Bucket-Hats/zgbs/fashion/2474975011/ref=zg_bs_nav_4_2474945011,"Clothing, Shoes & Jewelry","Clothing, Shoes & Jewelry/Women/Accessories/Hats & Caps"
Best Seller,Bomber Hats,https://www.amazon.com/Best-Sellers-Womens-Bomber-Hats/zgbs/fashion/2474974011/ref=zg_bs_nav_4_2474945011,"Clothing, Shoes & Jewelry","Clothing, Shoes & Jewelry/Women/Accessories/Hats & Caps"
Best Seller,Berets,https://www.amazon.com/Best-Sellers-Womens-Berets/zgbs/fashion/2474973011/ref=zg_bs_nav_4_2474945011,"Clothing, Shoes & Jewelry","Clothing, Shoes & Jewelry/Women/Accessories/Hats & Caps"
Best Seller,Baseball Caps,https://www.amazon.com/Best-Sellers-Womens-Baseball-Caps/zgbs/fashion/2474972011/ref=zg_bs_nav_4_2474945011,"Clothing, Shoes & Jewelry","Clothing, Shoes & Jewelry/Women/Accessories/Hats & Caps"
Best Seller,Balaclavas,https://www.amazon.com/Best-Sellers-Womens-Balaclavas/zgbs/fashion/2474961011/ref=zg_bs_nav_4_2474945011,"Clothing, Shoes & Jewelry","Clothing, Shoes & Jewelry/Women/Accessories/Hats & Caps"
Best Seller,Handbag Hangers,https://www.amazon.com/Best-Sellers-Womens-Handbag-Hangers/zgbs/fashion/3420364011/ref=zg_bs_nav_4_7072327011,"Clothing, Shoes & Jewelry","Clothing, Shoes & Jewelry/Women/Accessories/Handbag Accessories"
Best Seller, Card & ID Cases,https://www.amazon.com/Best-Sellers-Womens-Card-ID-Cases/zgbs/fashion/2475879011/ref=zg_bs_nav_4_7072326011,"Clothing, Shoes & Jewelry","Clothing, Shoes & Jewelry/Women/Accessories/Wallets, Card Cases & Money Organizers"
Best Seller,Wallets,https://www.amazon.com/Best-Sellers-Womens-Wallets/zgbs/fashion/2475898011/ref=zg_bs_nav_4_7072326011,"Clothing, Shoes & Jewelry","Clothing, Shoes & Jewelry/Women/Handbags & Wallets"
Best Seller,Watches,https://www.amazon.com/Best-Sellers-Womens-Contemporary-Designer-Watches/zgbs/fashion/11300717011/ref=zg_bs_nav_4_11300394011,"Clothing, Shoes & Jewelry","Clothing, Shoes & Jewelry/Women/Shops/Contemporary & Designer"
Best Seller, Handbags & Wallets,https://www.amazon.com/Best-Sellers-Womens-Contemporary-Designer-Handbags-Purses/zgbs/fashion/11300721011/ref=zg_bs_nav_4_11300394011,"Clothing, Shoes & Jewelry","Clothing, Shoes & Jewelry/Women/Shops/Contemporary & Designer"
Best Seller, Jewelry,https://www.amazon.com/Best-Sellers-Womens-Contemporary-Designer-Jewelry/zgbs/fashion/11300669011/ref=zg_bs_nav_4_11300394011,"Clothing, Shoes & Jewelry","Clothing, Shoes & Jewelry/Women/Shops/Contemporary & Designer"
Best Seller, Shoes,https://www.amazon.com/Best-Sellers-Womens-Contemporary-Designer-Shoes/zgbs/fashion/11300591011/ref=zg_bs_nav_4_11300394011,"Clothing, Shoes & Jewelry","Clothing, Shoes & Jewelry/Women/Shops/Contemporary & Designer"
